# 经营范围规范表述目录（征求意见稿）
# 来源：P020210316361615430877.pdf；每行：条目代码	规范表述	对应行业分类	原始监管信息
O2002	机动车修理和维护	811汽车、摩托车等修理与维护 机动车维修经营业务	机动车修理和维护 811汽车、摩托车等修理与维护 机动车维修经营业务许可证核发 机动车维修经营 业务许可证核 发;
O2003	计算机及办公设备维修	8121计算机和辅助设备修理；8129其他办公设备维修	计算机及办公设备维修 8121计算机和辅助设备修理；8129其他办公设备维修
O2004	通讯设备修理	8122通讯设备修理	通讯设备修理 8122通讯设备修理
O2005	日用电器修理	8131家用电子产品修理；8132日用电器修理	日用电器修理 8131家用电子产品修理；8132日用电器修理
O2006	日用产品修理	8193家具和相关物品修理；8199其他未列明日用产品修理业	日用产品修理 8193家具和相关物品修理；8199其他未列明日用产品修理业
O2007	自行车修理	8191自行车修理	自行车修理 8191自行车修理
O2008	鞋和皮革修理	8192鞋和皮革修理	鞋和皮革修理 8192鞋和皮革修理
O2009	机动车改装服务	811汽车、摩托车等修理与维护 机动车维修经营业务	机动车改装服务 811汽车、摩托车等修理与维护 机动车维修经营业务许可证核发 机动车维修经营 业务许可证核 发;
O2010	电动自行车维修	8191自行车修理	电动自行车维修 8191自行车修理
O2011	乐器维修、调试	8199其他未列明日用产品修理业	乐器维修、调试 8199其他未列明日用产品修理业
O3001	宠物饲养	8221宠物饲养 兴办动物饲养场（养殖小区）和隔离场 所，动物屠宰加工场所，以及动物和动 物产品无害化处理场所	宠物饲养 8221宠物饲养 兴办动物饲养场（养殖小区）和隔离场 所，动物屠宰加工场所，以及动物和动 物产品无害化处理场所审批（不含市区 饲养家畜家禽）;动物防疫条件合格证 核发; 兴办动物饲养场（养殖小区）和隔离 场所，动物屠宰加工场所，以及动物 和动物产品无害化处理场所审批（不 含市区饲养家畜家禽）动物防疫条件 合格证核发 设立动物饲养场（养殖小 区）和隔离场所，设立动 物屠宰加工场所、生猪定 点屠宰厂（场）以及动物 和动物产品无害化处理场 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
O3002	建筑物清洁服务	8211建筑物清洁服务	建筑物清洁服务 8211建筑物清洁服务
O3003	专业保洁、清洗、消毒服务	8219其他清洁服务	专业保洁、清洗、消毒服务 8219其他清洁服务
O3004	洗车服务	8219其他清洁服务	洗车服务 8219其他清洁服务
O3005	宠物服务（不含动物诊疗）	8223宠物美容服务；8224宠物寄托收养服务；8229其他宠物	宠物服务（不含动物诊疗） 8223宠物美容服务；8224宠物寄托收养服务；8229其他宠物
O3006	供暖服务	8090其他居民服务业	供暖服务 8090其他居民服务业
O3007	锅炉化学清洗	8219其他清洁服务	锅炉化学清洗 8219其他清洁服务
O3008	餐饮器具集中消毒服务	8219其他清洁服务	餐饮器具集中消毒服务 8219其他清洁服务
O3009	电子、机械设备维护（不含特 种设备）	829其他未列明服务业	电子、机械设备维护（不含特 种设备） 829其他未列明服务业
O3010	咨询策划服务	809其他居民服务业	咨询策划服务 809其他居民服务业
O3011	职工疗休养策划服务	829其他未列明服务业	职工疗休养策划服务 829其他未列明服务业
O3012	城市宠物服务（不含动物诊	822宠物服务	城市宠物服务（不含动物诊 822宠物服务
O3013	农村生活垃圾经营性服务	829其他未列明服务业	农村生活垃圾经营性服务 829其他未列明服务业
O3014	影视美术道具置景服务	829其他未列明服务业	影视美术道具置景服务 829其他未列明服务业
O3015	集装箱维修	431金属制品修理；	集装箱维修 431金属制品修理；
O3016	客运索道经营	5412城市轨道交通；5429其他公路客运；	客运索道经营 5412城市轨道交通；5429其他公路客运；
P1003	机动车驾驶员培训	8391职业技能培训 机动车驾驶员培训	机动车驾驶员培训 8391职业技能培训 机动车驾驶员培训许可; 机动车驾驶员培训许可 道路旅客运输站经营许可 、机动车驾驶员培训许可
P1004	船员、引航员培训	8391职业技能培训 培训机构从事船员、引航员培训业务审 批; 培训机构从事船员、引航员培训业务	船员、引航员培训 8391职业技能培训 培训机构从事船员、引航员培训业务审 批; 培训机构从事船员、引航员培训业务 审批
P1005	拖拉机驾驶培训	8391职业技能培训 拖拉机驾驶培训学校、驾驶培训班资格 认定; 拖拉机驾驶培训学校、驾驶培训班资 格认定（自贸区适用）	拖拉机驾驶培训 8391职业技能培训 拖拉机驾驶培训学校、驾驶培训班资格 认定; 拖拉机驾驶培训学校、驾驶培训班资 格认定（自贸区适用）
P1006	民用航空器驾驶员培训	8391职业技能培训 民用航空器驾驶员学校审定; 民用航空器驾驶员学校审定 飞行训练中心、民用航空 器驾驶员学校、民用航空 维修技术人员学校、飞行	民用航空器驾驶员培训 8391职业技能培训 民用航空器驾驶员学校审定; 民用航空器驾驶员学校审定 飞行训练中心、民用航空 器驾驶员学校、民用航空 维修技术人员学校、飞行
P1007	民用航空维修技术培训	8391职业技能培训 民用航空维修技术人员学校合格认定; 民用航空维修技术人员学校合格认定 飞行训练中心、民用航空 器驾驶员学校、民用航空 维修技术人员学校、飞行	民用航空维修技术培训 8391职业技能培训 民用航空维修技术人员学校合格认定; 民用航空维修技术人员学校合格认定 飞行训练中心、民用航空 器驾驶员学校、民用航空 维修技术人员学校、飞行
P1008	飞行训练	8391职业技能培训 飞行训练中心合格认定; 飞行训练中心合格认定 飞行训练中心、民用航空 器驾驶员学校、民用航空 维修技术人员学校、飞行	飞行训练 8391职业技能培训 飞行训练中心合格认定; 飞行训练中心合格认定 飞行训练中心、民用航空 器驾驶员学校、民用航空 维修技术人员学校、飞行
P1009	飞行签派员培训	8391职业技能培训 飞行签派员训练机构	飞行签派员培训 8391职业技能培训 飞行签派员训练机构审批; 飞行签派员训练机构审批 飞行训练中心、民用航空 器驾驶员学校、民用航空 维修技术人员学校、飞行
P1010	营利性民办幼儿园	831学前教育 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分立， 合并，终止（教育部）;实施中等及中 等以下学历教育、学前教育、自学考试 助学及其他文化教育的学校设立、变更 和终止	营利性民办幼儿园 831学前教育 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分立， 合并，终止（教育部）;实施中等及中 等以下学历教育、学前教育、自学考试 助学及其他文化教育的学校设立、变更 和终止审批;营利性民办学校（营利性 民办培训机构）办学许可（教育部）; 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分 立，合并，终止（教育部）实施中等 及中等以下学历教育、学前教育、自 学考试助学及其他文化教育的学校设 立、变更和终止审批营利性民办学校 （营利性民办培训机构）办学许可 实施学前教育、初等教育 、中等教育、高等教育的 学校、实施自学考试助学 及其他文化教育的学校和 教育机构的设立、变更和 终止审批 《外资负面清单》学前、普通高中和高等教育机构限于中外合作办学，须由中方主导（校长或者主 要行政负责人应当具有中国国籍，理事会、董事会或者联合管理委员会的中方组成人 员不得少于1/2）
P1011	实施高等教育的营利性民办学 校	834高等教育 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分立， 合并，终止（教育部）;营利性民办学 校（营利性民办培训机构）办学	实施高等教育的营利性民办学 校 834高等教育 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分立， 合并，终止（教育部）;营利性民办学 校（营利性民办培训机构）办学许可 （教育部）;实施专科教育的高等学校 和其他高等教育机构的设立、分立、合 并、变更和终止审批; 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分 立，合并，终止（教育部）营利性民 办学校（营利性民办培训机构）办学 许可（教育部）实施专科教育的高等 学校和其他高等教育机构的设立、分 立、合并、变更和终止审批 实施学前教育、初等教育 、中等教育、高等教育的 学校、实施自学考试助学 及其他文化教育的学校和 教育机构的设立、变更和 终止审批 《外资负面清单》学前、普通高中和高等教育机构限于中外合作办学，须由中方主导（校长或者主 要行政负责人应当具有中国国籍，理事会、董事会或者联合管理委员会的中方组成人 员不得少于1/2）
P1012	实施高中阶段学历教育的营利 性民办学校	8334普通高中教育 营利性民办学校（营利性民办培训机 构）办学	实施高中阶段学历教育的营利 性民办学校 8334普通高中教育 营利性民办学校（营利性民办培训机 构）办学许可（教育部）;实施中等及 中等以下学历教育、学前教育、自学考 试助学及其他文化教育的学校设立、变 更和终止审批;营利性民办学校（营利 性民办培训机构）名称、层次、类别的 变更，分立，合并，终止（教育部）; 营利性民办学校（营利性民办培训机 构）办学许可（教育部）实施中等及 中等以下学历教育、学前教育、自学 考试助学及其他文化教育的学校设立 、变更和终止审批营利性民办学校 （营利性民办培训机构）名称、层次 、类别的变更，分立，合并，终止 实施学前教育、初等教育 、中等教育、高等教育的 学校、实施自学考试助学 及其他文化教育的学校和 教育机构的设立、变更和 终止审批 《外资负面清单》学前、普通高中和高等教育机构限于中外合作办学，须由中方主导（校长或者主 要行政负责人应当具有中国国籍，理事会、董事会或者联合管理委员会的中方组成人 员不得少于1/2）
P1013	营利性民办自学考试助学教育 机构	8322成人小学教育；8333成人初中教育；8335成人高中教 育；8342成人高等教育 实施中等及中等以下学历教育、学前教 育、自学考试助学及其他文化教育的学 校设立、变更和终止	营利性民办自学考试助学教育 机构 8322成人小学教育；8333成人初中教育；8335成人高中教 育；8342成人高等教育 实施中等及中等以下学历教育、学前教 育、自学考试助学及其他文化教育的学 校设立、变更和终止审批;营利性民办 实施中等及中等以下学历教育、学前 教育、自学考试助学及其他文化教育 的学校设立、变更和终止审批营利性 实施学前教育、初等教育 、中等教育、高等教育的 学校、实施自学考试助学
P1015	营利性民办职业技能培训机构	8391职业技能培训 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分立， 合并，终止（教育部）;营利性民办学 校（营利性民办培训机构）名称、层次 、类别的变更，分立，合并，终止（人 力资源社会保障部）;民办职业培训学 校设立、分立、合并、变更及终止审 批;设立技师学院	营利性民办职业技能培训机构 8391职业技能培训 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分立， 合并，终止（教育部）;营利性民办学 校（营利性民办培训机构）名称、层次 、类别的变更，分立，合并，终止（人 力资源社会保障部）;民办职业培训学 校设立、分立、合并、变更及终止审 批;设立技师学院审批;营利性民办学校 （营利性民办培训机构）办学许可（教 育部）;设立技工学校审批;经营性中外 合作职业技能培训机构设立、分立、合 并、变更、终止审批;营利性民办学校 （营利性民办培训机构）办学许可（人 力资源社会保障部）; 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分 立，合并，终止（教育部）营利性民 办学校（营利性民办培训机构）名称 、层次、类别的变更，分立，合并， 终止（人力资源社会保障部）民办职 业培训学校设立、分立、合并、变更 及终止审批设立技师学院审批营利性 民办学校（营利性民办培训机构）办 学许可（教育部）设立技工学校审批 经营性中外合作职业技能培训机构设 立、分立、合并、变更、终止审批营 利性民办学校（营利性民办培训机 构）办学许可（人力资源社会保障 民办学校举办者变更审 批；实施以职业技能为主 的职业资格培训、职业技 能培训的民办学校的设立 、变更和终止审批；外籍 人员子女学校开办、民办 学校办学许可审批；技工 学校设立审批
P1016	营利性民办技工院校	8336中等职业学校教育；8332职业初中教育 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分立， 合并，终止（教育部）;民办职业培训 学校设立、分立、合并、变更及终止审 批;营利性民办学校（营利性民办培训 机构）名称、层次、类别的变更，分 立，合并，终止（人力资源社会保障 部）;经营性中外合作职业技能培训机 构设立、分立、合并、变更、终止审 批;设立技师学院	营利性民办技工院校 8336中等职业学校教育；8332职业初中教育 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分立， 合并，终止（教育部）;民办职业培训 学校设立、分立、合并、变更及终止审 批;营利性民办学校（营利性民办培训 机构）名称、层次、类别的变更，分 立，合并，终止（人力资源社会保障 部）;经营性中外合作职业技能培训机 构设立、分立、合并、变更、终止审 批;设立技师学院审批;营利性民办学校 （营利性民办培训机构）办学许可（人 力资源社会保障部）;设立技工学校审 批;营利性民办学校（营利性民办培训 机构）办学许可（教育部）; 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分 立，合并，终止（教育部）民办职业 培训学校设立、分立、合并、变更及 终止审批营利性民办学校（营利性民 办培训机构）名称、层次、类别的变 更，分立，合并，终止（人力资源社 会保障部）经营性中外合作职业技能 培训机构设立、分立、合并、变更、 终止审批设立技师学院审批营利性民 办学校（营利性民办培训机构）办学 许可（人力资源社会保障部）设立技 工学校审批营利性民办学校（营利性 民办培训机构）办学许可（教育部） 民办学校举办者变更审 批；实施以职业技能为主 的职业资格培训、职业技 能培训的民办学校的设立 、变更和终止审批；外籍 人员子女学校开办、民办 学校办学许可审批；技工 学校设立审批
P1017	面向中小学生实施学科类培训 的营利性民办培训机构	839技能培训、教育辅助及其他教育；8321普通小学教育； 8331普通初中教育；8333成人初中教育；8336中等职业学校 教育；8334普通高中教育 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分立， 合并，终止（教育部）;营利性民办学 校（营利性民办培训机构）办学	面向中小学生实施学科类培训 的营利性民办培训机构 839技能培训、教育辅助及其他教育；8321普通小学教育； 8331普通初中教育；8333成人初中教育；8336中等职业学校 教育；8334普通高中教育 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分立， 合并，终止（教育部）;营利性民办学 校（营利性民办培训机构）办学许可 （教育部）;实施中等及中等以下学历 教育、学前教育、自学考试助学及其他 文化教育的学校设立、变更和终止审 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分 立，合并，终止（教育部）营利性民 办学校（营利性民办培训机构）办学 许可（教育部）实施中等及中等以下 学历教育、学前教育、自学考试助学 及其他文化教育的学校设立、变更和 实施学前教育、初等教育 、中等教育、高等教育的 学校、实施自学考试助学 及其他文化教育的学校和 教育机构的设立、变更和 终止审批
P1018	面向中小学生实施语言类培训 的营利性民办培训机构	8321普通小学教育；8331普通初中教育；8332职业初中教 育；8334普通高中教育；8336中等职业学校教育；8394教育 辅助服务；8399其他未列明教育 实施中等及中等以下学历教育、学前教 育、自学考试助学及其他文化教育的学 校设立、变更和终止	面向中小学生实施语言类培训 的营利性民办培训机构 8321普通小学教育；8331普通初中教育；8332职业初中教 育；8334普通高中教育；8336中等职业学校教育；8394教育 辅助服务；8399其他未列明教育 实施中等及中等以下学历教育、学前教 育、自学考试助学及其他文化教育的学 校设立、变更和终止审批;营利性民办 学校（营利性民办培训机构）办学许可 （教育部）;营利性民办学校（营利性 民办培训机构）名称、层次、类别的变 更，分立，合并，终止（教育部）; 实施中等及中等以下学历教育、学前 教育、自学考试助学及其他文化教育 的学校设立、变更和终止审批营利性 民办学校（营利性民办培训机构）办 学许可（教育部）营利性民办学校 （营利性民办培训机构）名称、层次 、类别的变更，分立，合并，终止 实施学前教育、初等教育 、中等教育、高等教育的 学校、实施自学考试助学 及其他文化教育的学校和 教育机构的设立、变更和 终止审批
P1019	从事语言能力、艺术、体育、 科技等培训的营利性民办培训	8394教育辅助服务；8392体校及体育培训；8393文化艺术培 训 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分立， 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分	从事语言能力、艺术、体育、 科技等培训的营利性民办培训 8394教育辅助服务；8392体校及体育培训；8393文化艺术培 训 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分立， 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分
P1020	自费出国留学中介服务	7243社会经济咨询；8394教育辅助服务 P1021 从事科技培训的营利性民办培 训机构（除面向中小学生开展 的学科类、语言类文化教育培 训） 8391职业技能培训；8392体校及体育培训；8394教育辅助服 务；8399其他未列明教育 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分立， 合并，终止（教育部）;营利性民办学 校（营利性民办培训机构）办学	自费出国留学中介服务 7243社会经济咨询；8394教育辅助服务 P1021 从事科技培训的营利性民办培 训机构（除面向中小学生开展 的学科类、语言类文化教育培 训） 8391职业技能培训；8392体校及体育培训；8394教育辅助服 务；8399其他未列明教育 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分立， 合并，终止（教育部）;营利性民办学 校（营利性民办培训机构）办学许可 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分 立，合并，终止（教育部）营利性民 办学校（营利性民办培训机构）办学 P1022 从事体育培训的营利性民办培 训机构（除面向中小学生开展 的学科类、语言类文化教育培 训） 8392体校及体育培训；8394教育辅助服务；8399其他未列明 教育 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分立， 合并，终止（教育部）;营利性民办学 校（营利性民办培训机构）办学许可 （教育部）;实施中等及中等以下学历 教育、学前教育、自学考试助学及其他 文化教育的学校设立、变更和终止审 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分 立，合并，终止（教育部）营利性民 办学校（营利性民办培训机构）办学 许可（教育部）实施中等及中等以下 学历教育、学前教育、自学考试助学 及其他文化教育的学校设立、变更和 P1023 从事艺术培训的营利性民办培 训机构（除面向中小学生开展 的学科类、语言类文化教育培 训） 8391职业技能培训；8393文化艺术培训；8394教育辅助服 务；8399其他未列明教育 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分立， 合并，终止（教育部）;营利性民办学 校（营利性民办培训机构）办学许可 （教育部）;实施中等及中等以下学历 教育、学前教育、自学考试助学及其他 文化教育的学校设立、变更和终止审 批; 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分 立，合并，终止（教育部）营利性民 办学校（营利性民办培训机构）办学 许可（教育部）实施中等及中等以下 学历教育、学前教育、自学考试助学 及其他文化教育的学校设立、变更和 终止审批 P1024 从事语言能力培训的营利性民 办培训服务机构（除面向中小 学生开展的学科类、语言类文 化教育培训） 8391职业技能培训；8393文化艺术培训；8394教育辅助服 务；8399其他未列明教育 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分立， 合并，终止（教育部）;营利性民办学 校（营利性民办培训机构）办学许可 （教育部）;实施中等及中等以下学历 教育、学前教育、自学考试助学及其他 文化教育的学校设立、变更和终止审 营利性民办学校（营利性民办培训机 构）名称、层次、类别的变更，分 立，合并，终止（教育部）营利性民 办学校（营利性民办培训机构）办学 许可（教育部）实施中等及中等以下 学历教育、学前教育、自学考试助学 及其他文化教育的学校设立、变更和
P1025	教育教学检测和评价活动	8394教育辅助服务	教育教学检测和评价活动 8394教育辅助服务
P1026	特种作业人员安全技术培训	8391职业技能培训；	特种作业人员安全技术培训 8391职业技能培训；
P1027	招生辅助服务	8394教育辅助服务 P1029 业务培训（不含教育培训、职 业技能培训等需取得	招生辅助服务 8394教育辅助服务 P1029 业务培训（不含教育培训、职 业技能培训等需取得许可的培 训） 8392体校及体育培训；8393文化艺术培训；8394教育辅助服 务；8399其他未列明教育
Q1001	医疗服务	841医院；8425门诊部（所）；8431疾病预防控制中心；8432 专科疾病防治院（所、站)；8436计划生育技术服务活动； 8491健康体检服务；8492临床检验服务；8499其他未列明卫 生服务；8513精神康复服务 医疗机构（不含诊所）执业登记;营利 性医疗机构设置	医疗服务 841医院；8425门诊部（所）；8431疾病预防控制中心；8432 专科疾病防治院（所、站)；8436计划生育技术服务活动； 8491健康体检服务；8492临床检验服务；8499其他未列明卫 生服务；8513精神康复服务 医疗机构（不含诊所）执业登记;营利 性医疗机构设置审批;医疗机构人体器 官移植执业资格认定审批;医疗机构开 展人类辅助生殖技术许可; 医疗机构（不含诊所）执业登记营利 性医疗机构设置审批医疗机构人体器 官移植执业资格认定审批医疗机构开 展人类辅助生殖技术许可 设置医疗机构批准书及医 疗机构执业许可证核发； 医疗机构人体器官移植执 业资格认定；医疗机构设 置人类精子库，从事遗传 医疗机构限于合资。
Q1002	诊所服务	8425门诊部（所） 诊所设置	诊所服务 8425门诊部（所） 诊所设置审批;诊所执业登记; 诊所设置审批;诊所执业登记诊所设置 审批（自贸区适用）;诊所执业登记 （自贸区适用） 诊所设置审批 （自贸区适 用）;诊所执业 登记（自贸区适 用）;
Q1003	依托实体医院的互联网医院服 务	841医院；8425门诊部（所）；8431疾病预防控制中心；8432 专科疾病防治院（所、站)；8436计划生育技术服务活动； 8491健康体检服务；8492临床检验服务；8499其他未列明卫 生服务；8513精神康复服务 外商投资经营电信业务（第一类增值电 信业务）	依托实体医院的互联网医院服 务 841医院；8425门诊部（所）；8431疾病预防控制中心；8432 专科疾病防治院（所、站)；8436计划生育技术服务活动； 8491健康体检服务；8492临床检验服务；8499其他未列明卫 生服务；8513精神康复服务 外商投资经营电信业务（第一类增值电 信业务）审批;电信业务（第二类增值 电信业务）经营许可;医疗机构（不含 诊所）执业登记;外商投资经营电信业 务（第二类增值电信业务）审批;电信 业务（第一类增值电信业务）经营许 可;医疗机构（不含诊所）设置审批; 外商投资经营电信业务（第一类增值 电信业务）审批电信业务（第二类增 值电信业务）经营许可医疗机构（不 含诊所）执业登记外商投资经营电信 业务（第二类增值电信业务）审批电 信业务（第一类增值电信业务）经营 许可医疗机构（不含诊所）设置审批 经营电信业务，必须依照 相关条例的规定取得国务 院信息产业主管部门或者 省、自治区、直辖市电信 管理机构颁发的电信业务 经营许可证。运用新技术 试办《电信业务分类目录
Q1004	原料血浆的采集与供应	8435采供血机构服务 单采血浆站设置	原料血浆的采集与供应 8435采供血机构服务 单采血浆站设置审批及许可证核发; 单采血浆站设置审批及许可证核发 设立单采血浆站审批
Q1005	病媒生物防治服务	8499其他未列明卫生服务	病媒生物防治服务 8499其他未列明卫生服务
Q1006	盲人医疗按摩服务	8499其他未列明卫生服务 医疗机构（不含诊所）设置	盲人医疗按摩服务 8499其他未列明卫生服务 医疗机构（不含诊所）设置审批; 医疗机构（不含诊所）设置审批 设置医疗机构批准书及医 疗机构执业许可证核发
Q1007	中医诊所服务（须在中医主管 部门备案后方可从事经营活	8425门诊部（所） 中医诊所备案 中医诊所备案;	中医诊所服务（须在中医主管 部门备案后方可从事经营活 8425门诊部（所） 中医诊所备案 中医诊所备案;
Q2001	护理机构服务（不含医疗服	8512护理机构服务	护理机构服务（不含医疗服 8512护理机构服务
Q2002	养老服务	8514老年人、残疾人养护服务 养老机构设立	养老服务 8514老年人、残疾人养护服务 养老机构设立许可 养老机构设立许 可;
Q2003	康复辅具适配服务	8522康复辅具适配服务	康复辅具适配服务 8522康复辅具适配服务
Q2004	母婴生活护理（不含医疗服	8512护理机构服务	母婴生活护理（不含医疗服 8512护理机构服务
Q2005	机构养老服务	8514老年人、残疾人养护服务 养老机构设立	机构养老服务 8514老年人、残疾人养护服务 养老机构设立许可 养老机构设立许 可;
R1001	出版物出版	862出版业 中学小学教科书出版资质	出版物出版 862出版业 中学小学教科书出版资质审批;出版单 位设立、变更审批（初审）;出版单位 变更名称、主办单位或者其主管机关、 业务范围、资本结构，合并或者分立， 设立分支机构审批;中学小学教科书出 版资质审批（初审）;出版单位变更资 本结构审批;期刊出版单位设立、变更 、合并、分立、设立分支机构审批;专 项出版业务范围变更审批;电子出版物 出版单位设立、变更、合并、分立、设 立分支机构审批;网络出版单位设立、 变更、合并、分立、设立分支机构审 批;设立出版单位审批;音像出版单位设 立、变更、合并、分立、设立分支机构 审批;图书出版单位设立、变更、合并 、分立、设立分支机构审批;报纸出版 单位设立、变更、合并、分立、设立分 中学小学教科书出版资质审批出版单 位设立、变更审批（初审）出版单位 变更名称、主办单位或者其主管机关 、业务范围、资本结构，合并或者分 立，设立分支机构审批中学小学教科 书出版资质审批（初审）出版单位变 更资本结构审批期刊出版单位设立、 变更、合并、分立、设立分支机构审 批专项出版业务范围变更审批电子出 版物出版单位设立、变更、合并、分 立、设立分支机构审批网络出版单位 设立、变更、合并、分立、设立分支 机构审批设立出版单位审批音像出版 单位设立、变更、合并、分立、设立 分支机构审批图书出版单位设立、变 更、合并、分立、设立分支机构审批 报纸出版单位设立、变更、合并、分 中学小学教科书出版、发 行资质审批；设立出版单 位审批；出版单位变更名 称、主办单位或者其主管 机关、业务范围、资本结 构，合并或者分立，设立 分支机构审批 《外资负面清单》禁止投资图书、报纸、期刊、音像制品和电子出版物的编辑、出版、制作业务。
R2001	广播电视节目制作经营	8710广播；8720电视 广播电视节目制作经营单位设立	广播电视节目制作经营 8710广播；8720电视 广播电视节目制作经营单位设立审批; 广播电视节目制作经营单位设立审批 广播电视节目制作经营单 位、电视剧（含电视动画 片）制作单位设立审批 《外资负面清单》禁止投资广播电视节目制作经营（含引进业务）公司。
R2002	电视剧制作	8730影视节目制作 设立电视剧制作单位	电视剧制作 8730影视节目制作 设立电视剧制作单位审批; 设立电视剧制作单位审批 《外资负面清单》禁止投资广播电视节目制作经营（含引进业务）公司。
R2005	音像制品制作	8730影视节目制作；8770录音制作 音像制作单位设立、变更业务范围，或 兼并、合并、分立	音像制品制作 8730影视节目制作；8770录音制作 音像制作单位设立、变更业务范围，或 兼并、合并、分立审批;音像制作单位 设立、变更审批; 音像制作单位设立、变更业务范围， 或兼并、合并、分立审批音像制作单 位设立、变更审批 设立出版单位审批；出版 单位变更名称、主办单位 或者其主管机关、业务范 《外资负面清单》禁止投资图书、报纸、期刊、音像制品和电子出版物的编辑、出版、制作业务。
R2006	电子出版物制作	8730影视节目制作；8770录音制作 电子出版物制作单位设立、变更	电子出版物制作 8730影视节目制作；8770录音制作 电子出版物制作单位设立、变更审批; 电子出版物制作单位设立、变更审批 出版物批发单位设立、变 更审批；出版物零售单位 和个体工商户设立、变更 审批；音像制作单位、电 《外资负面清单》禁止投资图书、报纸、期刊、音像制品和电子出版物的编辑、出版、制作业务。
R2007	信息网络传播视听节目	6429互联网其他信息服务；8740广播电视集成播控 信息网络传播视听节目	信息网络传播视听节目 6429互联网其他信息服务；8740广播电视集成播控 信息网络传播视听节目许可证核发; 信息网络传播视听节目许可证核发 从事内容提供、集成播控 、传输分发等专网及定向 传播视听节目服务，应当 取得《信息网络传播视听 节目许可证》。从事互联 网视听节目服务，应当依 《外资负面清单》禁止投资互联网新闻信息服务、网络出版服务、网络视听节目服务、互联网文化 经营（音乐除外）、互联网公众发布信息服务（上述服务中，中国入世承诺中已开放的内容除外）
R2009	电影发行	8750电影和广播电视节目发行 电影发行单位设立、变更业务范围或者 兼并、合并、分立	电影发行 8750电影和广播电视节目发行 电影发行单位设立、变更业务范围或者 兼并、合并、分立审批; 电影发行单位设立、变更业务范围或 者兼并、合并、分立审批 电影发行单位设立、变更 业务范围或者兼并、合并 《外资负面清单》禁止投资电影制作公司、发行公司、院线公司以及电影引进业务
R2010	电影放映	8760电影放映 电影放映单位设立	电影放映 8760电影放映 电影放映单位设立审批;外商投资电影 院设立许可;公共场所卫生许可; 电影放映单位设立审批外商投资电影 院设立许可公共场所卫生许可 电影发行单位设立、变更 业务范围或者兼并、合并 《外资负面清单》禁止投资电影制作公司、发行公司、院线公司以及电影引进业务
R2011	电影摄制服务	8730影视节目制作	电影摄制服务 8730影视节目制作 《外资负面清单》禁止投资电影制作公司、发行公司、院线公司以及电影引进业务。
R2012	电视剧发行	872电视；873影视节目制作；875电影和广播电视节目发行 电视剧发行	电视剧发行 872电视；873影视节目制作；875电影和广播电视节目发行 电视剧发行许可; 电视剧发行许可 国产电视剧片（含电视动 《外资负面清单》禁止投资广播电视节目制作经营（含引进业务）公司。
R3001	营业性演出	8810文艺创作与表演 港、澳服务提供者在内地设立内地方控 股合资演出团体	营业性演出 8810文艺创作与表演 港、澳服务提供者在内地设立内地方控 股合资演出团体审批;文艺表演团体设 立审批; 港、澳服务提供者在内地设立内地方 控股合资演出团体审批文艺表演团体 设立审批 文艺表演团体、演出经纪 机构从事营业性演出经营 活动许可；开展营业性演 《外资负面清单》禁止投资文艺表演团体。
R3002	文艺创作	8810文艺创作与表演	文艺创作 8810文艺创作与表演
R3003	艺术考级活动	8810文艺创作与表演 设立社会艺术水平考级机构	艺术考级活动 8810文艺创作与表演 设立社会艺术水平考级机构审批; 设立社会艺术水平考级机构审批
